python3-resolvelib|0:0.5.4-5.el9.noarch
python3-setools|0:4.4.4-1.el9.x86_64
python3-setuptools-wheel|0:53.0.0-13.el9_6.1.noarch
python3-setuptools|0:53.0.0-13.el9_6.1.noarch
python3-six|0:1.15.0-9.el9.noarch
python3.11-libs|0:3.11.11-2.el9_6.2.x86_64
python3.11-pip-wheel|0:22.3.1-5.el9.noarch
python3.11-pip|0:22.3.1-5.el9.noarch
python3.11-setuptools-wheel|0:65.5.1-4.el9_6.noarch
python3.11-setuptools|0:65.5.1-4.el9_6.noarch
python3.11-wheel|0:0.38.4-3.el9.noarch
python3.11|0:3.11.11-2.el9_6.2.x86_64
python3|0:3.9.21-2.el9_6.2.x86_64
readline|0:8.1-4.el9.x86_64
redhat-logos-httpd|0:90.5-1.el9_6.1.noarch
redhat-release|0:9.6-0.1.el9.x86_64
rpm-libs|0:4.16.1.3-37.el9.x86_64
rpm|0:4.16.1.3-37.el9.x86_64
sed|0:4.8-9.el9.x86_64
setup|0:2.13.7-10.el9.noarch
shadow-utils|2:4.9-12.el9.x86_64
sqlite-libs|0:3.34.1-8.el9_6.x86_64
sshpass|0:1.09-4.el9.x86_64
systemd-libs|0:252-51.el9_6.3.x86_64
systemd-pam|0:252-51.el9_6.3.x86_64
systemd-rpm-macros|0:252-51.el9_6.3.noarch
systemd|0:252-51.el9_6.3.x86_64
tzdata|0:2025b-1.el9.noarch
unixODBC|0:2.3.9-4.el9.x86_64
util-linux-core|0:2.37.4-21.el9.x86_64
util-linux|0:2.37.4-21.el9.x86_64
uuid|0:1.6.2-55.el9.x86_64
xml-common|0:0.6.3-58.el9.noarch
xz-libs|0:5.2.5-8.el9_0.x86_64
zabbix-agent2|0:7.0.30-release1.el9.x86_64
zabbix-get|0:7.0.30-release1.el9.x86_64
zabbix-nginx-conf|0:7.0.30-release1.el9.noarch
zabbix-selinux-policy|0:7.0.30-release1.el9.x86_64
zabbix-sender|0:7.0.30-release1.el9.x86_64
zabbix-server-pgsql|0:7.0.30-release1.el9.x86_64
zabbix-sql-scripts|0:7.0.30-release1.el9.noarch
zabbix-web-deps|0:7.0.30-release1.el9.noarch
zabbix-web-pgsql|0:7.0.30-release1.el9.noarch
zabbix-web-service|0:7.0.30-release1.el9.x86_64
zabbix-web|0:7.0.30-release1.el9.noarch
zlib|0:1.2.11-40.el9.x86_64
